개방자치단체코드,관리번호,인허가일자,폐업일자,Open_day,상세영업상태코드,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,업태분명,좌표정보(Y)
3010000,3010000-101-2016-00308,2016.9.22,2021.11.11,1876,2,폐업,02  7264330,170,100070,서울특별시 중구 소공동 1 롯데백화점 14층 ,"서울특별시 중구 남대문로 81 (소공동, 롯데백화점 14층)",4533,엘본더테이블 명동점,"외국음식전문점(인도,태국등)",451392.1982
3010000,3010000-101-2016-00351,2016.10.31,,42674,1,영업,02  33904310,54.05,100411,서울특별시 중구 광희동1가 288-1번지 2층 ,"서울특별시 중구 동호로34길 24 (광희동1가, 2층)",4561,까페 바이칼,"외국음식전문점(인도,태국등)",451419.8633
3010000,3010000-101-2016-00353,2016.11.2,2020.5.20,1295,2,폐업,02  775 9101,166.2,100180,서울특별시 중구 다동 130번지 2층 ,"서울특별시 중구 다동길 30 (다동, 2층)",4522,2 Thirsty Taproom,"외국음식전문점(인도,태국등)",451708.9092
3010000,3010000-101-2017-00004,2017.1.5,,42740,1,영업,02  22537824,150.71,100831,서울특별시 중구 신당동 52-231번지 1층 ,"서울특별시 중구 퇴계로86길 74 (신당동, 1층)",4585,오챠드1974 2호점,"외국음식전문점(인도,태국등)",451133.1002
3010000,3010000-101-2017-00017,2017.1.19,2020.4.21,1188,2,폐업,02  37896663,94.36,100180,서울특별시 중구 다동 137번지 2층 ,"서울특별시 중구 을지로3길 25-6 (다동, 2층)",4522,경성양꼬치 서울시청점,"외국음식전문점(인도,태국등)",451674.9871
3010000,3010000-101-2017-00026,2017.2.2,,42768,1,영업,,56.13,100032,서울특별시 중구 저동2가 75번지 2층 ,"서울특별시 중구 마른내로 17-1 (저동2가, 2층)",4551,벱비엣을지로본점,베트남식,451410.6894
3010000,3010000-101-2017-00067,2017.3.7,2018.10.5,577,2,폐업,,25,100855,서울특별시 중구 장충동2가 161-15번지 1층 ,"서울특별시 중구 장충단로7길 41 (장충동2가, 1층)",4616,스탠딩스테이크,"외국음식전문점(인도,태국등)",451124.2757
3010000,3010000-101-2017-00160,2017.5.8,2018.11.12,553,2,폐업,237897077,99.65,100802,서울특별시 중구 남대문로5가 526번지 대우재단빌딩 1층 1-3호 ,"서울특별시 중구 퇴계로 18 (남대문로5가, 대우재단빌딩 1층 1-3호)",4637,인디테이블 서울로점,"외국음식전문점(인도,태국등)",450468.9431
3010000,3010000-101-2017-00190,2017.5.24,,42879,1,영업,,92.67,100371,서울특별시 중구 만리동1가 62-35번지 1층 ,"서울특별시 중구 만리재로 207-11 (만리동1가, 1층)",4508,비스트로 한강,"외국음식전문점(인도,태국등)",450404.6024
3010000,3010000-101-2017-00298,2017.8.18,2019.8.5,717,2,폐업,,82.45,100851,서울특별시 중구 을지로6가 18-21번지 굿모닝시티 지하3층 302-02호 ,"서울특별시 중구 장충단로 247 (을지로6가, 굿모닝시티 지하3층 302-02호)",4564,BABA INTERNATIONAL & BABA RESTAURANT,"외국음식전문점(인도,태국등)",451621.0365
3010000,3010000-101-2017-00325,2017.8.30,,42977,1,영업,02  318 0913,167.4,100768,서울특별시 중구 태평로1가 84 파이낸스빌딩 지하1층 ,"서울특별시 중구 세종대로 136 (태평로1가, 파이낸스빌딩 지하1층)",4520,더플레이스 광화문SFC점,"외국음식전문점(인도,태국등)",451793.817
3010000,3010000-101-2017-00431,2017.11.10,2021.1.28,1175,2,폐업,,65.02,100196,서울특별시 중구 을지로6가 34-2 1층 ,"서울특별시 중구 을지로42길 12 (을지로6가, 1층)",4561,살람푸드,"외국음식전문점(인도,태국등)",451496.9176
3010000,3010000-101-2017-00433,2017.11.13,2021.9.14,1401,2,폐업,,54.5,100130,서울특별시 중구 순화동 217 덕수궁롯데캐슬 B122 ,"서울특별시 중구 서소문로9길 28 (순화동, 덕수궁롯데캐슬 B122)",4516,헬로 베이루트,"외국음식전문점(인도,태국등)",451257.2232
3010000,3010000-101-2017-00494,2017.12.21,,43090,1,영업,,103,100192,서울특별시 중구 을지로2가 203 파인에비뉴 지하1층 BB06호 ,"서울특별시 중구 을지로 100, 파인에비뉴 지하1층 BB06호 (을지로2가)",4551,우연히 하노이,베트남식,451495.9854
3010000,3010000-101-2018-00022,2018.1.18,,43118,1,영업,222344568,49.55,100828,서울특별시 중구 신당동 361-38번지 1층 ,"서울특별시 중구 동호로11길 31, 1층 (신당동)",4598,포안나,베트남식,450174.3593
3010000,3010000-101-2018-00024,2018.1.19,2019.6.21,518,2,폐업,,18.22,100400,서울특별시 중구 쌍림동 25-12번지 1층 ,"서울특별시 중구 퇴계로53길 10, 1층 (쌍림동)",4560,스윗 밸런스(SWEET BALANCE),"외국음식전문점(인도,태국등)",451316.3403
3010000,3010000-101-2018-00058,2018.2.22,2020.8.7,897,2,폐업,,82.5,100080,서울특별시 중구 북창동 11-4 2층 ,"서울특별시 중구 세종대로18길 16-5, 2층 (북창동)",4526,치즈웨이브,"외국음식전문점(인도,태국등)",451254.1422
3010000,3010000-101-2018-00067,2018.2.27,,43158,1,영업,02  773 8884,138.84,100210,서울특별시 중구 수하동 65-1번지 경기주차빌딩 지하1층 ,"서울특별시 중구 남대문로10길 6, 경기주차빌딩 지하1층 (수하동)",4539,리틀파파포 명동점,베트남식,451621.6502
3010000,3010000-101-2018-00068,2018.2.28,,43159,1,영업,02  318 5501,122.81,100768,서울특별시 중구 태평로1가 84번지 파이낸스빌딩 지하2층 ,"서울특별시 중구 세종대로 136, 파이낸스빌딩 지하2층 (태평로1가)",4520,띤띤 SFC,베트남식,451793.817
3010000,3010000-101-2018-00070,2018.3.5,,43164,1,영업,,41.88,100846,서울특별시 중구 을지로3가 296-2번지 3층 ,"서울특별시 중구 충무로 47, 3층 (을지로3가)",4550,을지식당,"외국음식전문점(인도,태국등)",451465.0422
3010000,3010000-101-2018-00119,2018.4.11,2020.11.24,958,2,폐업,,65.31,100260,서울특별시 중구 남학동 13-2 ,"서울특별시 중구 퇴계로 176, 1층 (남학동)",4627,CALICE,"외국음식전문점(인도,태국등)",450949.2339
3010000,3010000-101-2018-00124,2018.4.16,2021.5.27,1137,2,폐업,222787717,97.49,100411,서울특별시 중구 광희동1가 103-1 2층 ,"서울특별시 중구 마른내로 159, 2층 (광희동1가)",4561,주식회사 라비하우스,"외국음식전문점(인도,태국등)",451395.6485
3010000,3010000-101-2018-00130,2018.4.18,,43208,1,영업,,58.71,100272,서울특별시 중구 필동2가 70-4번지 1층 ,"서울특별시 중구 필동로 15-7, 1층 (필동2가)",4624,파파포,베트남식,450882.2075
3010000,3010000-101-2018-00185,2018.5.25,2018.11.26,185,2,폐업,,12.54,100340,서울특별시 중구 산림동 207-2번지 대림상가 3층 라열 358호 ,"서울특별시 중구 을지로 157, 대림상가 3층 라열 358호 (산림동)",4545,PLAZA!,"외국음식전문점(인도,태국등)",451693.2113
3010000,3010000-101-2018-00211,2018.6.12,2019.4.25,317,2,폐업,,128,100281,서울특별시 중구 인현동1가 15-15번지 3층 ,"서울특별시 중구 을지로20길 16, 3층 (인현동1가)",4549,Pulp,"외국음식전문점(인도,태국등)",451488.4124
3010000,3010000-101-2018-00242,2018.6.28,2020.10.26,851,2,폐업,,62.7,100043,서울특별시 중구 남산동3가 31-1 지하1층 ,"서울특별시 중구 퇴계로24길 13-8, 지하1층 (남산동3가)",4629,"명빌딩(락빈칼국수 명동남산길점, 명동스테이)","외국음식전문점(인도,태국등)",450898.703
3010000,3010000-101-2018-00248,2018.7.2,,43283,1,영업,02  22720486,52.8,100272,서울특별시 중구 필동2가 17-7번지 1층 ,"서울특별시 중구 퇴계로36길 27, 1층 (필동2가)",4625,필동 이태리식당,"외국음식전문점(인도,태국등)",450924.2411
3010000,3010000-101-2018-00263,2018.7.12,,43293,1,영업,02 7929119,62.61,100196,서울특별시 중구 을지로6가 23-9번지 1층 ,"서울특별시 중구 을지로44길 2, 1층 (을지로6가)",4561,(주)애브릿지,베트남식,451521.9141
3010000,3010000-101-2018-00264,2018.7.12,,43293,1,영업,,62.61,100196,서울특별시 중구 을지로6가 23-9번지 2층 ,"서울특별시 중구 을지로44길 2, 2층 (을지로6가)",4561,"퍼퓰러(Phopular,분보싸오)",베트남식,451521.9141
3010000,3010000-101-2018-00270,2018.7.18,2019.10.4,443,2,폐업,,63.24,100411,서울특별시 중구 광희동1가 113번지 2층 ,"서울특별시 중구 을지로42길 21, 2층 (광희동1가)",4561,카좌스탄 쇼올드 푸드,"외국음식전문점(인도,태국등)",451445.6394
3010000,3010000-101-2018-00325,2018.8.30,,43342,1,영업,,55.34,100845,서울특별시 중구 을지로2가 101-2번지 2층 ,"서울특별시 중구 을지로 105, 2층 (을지로2가)",4542,에이스 포 클럽,"외국음식전문점(인도,태국등)",451572.3187
3010000,3010000-101-2018-00346,2018.9.12,,43355,1,영업,,28.5,100300,서울특별시 중구 초동 32-6번지 5층 ,"서울특별시 중구 마른내로 42-1, 5층 (초동)",4555,5,"외국음식전문점(인도,태국등)",451320.6597
3010000,3010000-101-2018-00370,2018.10.4,,43377,1,영업,,56,100300,서울특별시 중구 초동 17-2번지 태창빌딩 2층 202호,"서울특별시 중구 충무로4길 5, 태창빌딩 2층 202호 (초동)",4549,로스트 앤 파운드,"외국음식전문점(인도,태국등)",451427.9924
3010000,3010000-101-2018-00391,2018.10.22,,43395,1,영업,,64.18,100843,서울특별시 중구 을지로1가 87번지 부영 을지빌딩 지하1층 ,"서울특별시 중구 을지로 29, 부영 을지빌딩 지하1층 (을지로1가)",4523,오미식당,"외국음식전문점(인도,태국등)",451576.0967
3010000,3010000-101-2018-00451,2018.12.14,2021.9.30,1021,2,폐업,,26.63,100360,서울특별시 중구 중림동 1154 더플레이스충정로 B201호,"서울특별시 중구 중림로 21, B201호 (중림동, 더플레이스충정로)",4506,버거1984,"외국음식전문점(인도,태국등)",450746.5537
3010000,3010000-101-2018-00467,2018.12.31,,43465,1,영업,,38.46,100864,서울특별시 중구 태평로2가 68-1번지 1층 ,"서울특별시 중구 세종대로 82, 1층 (태평로2가)",4526,마담 하노이,베트남식,451235.3738
3010000,3010000-101-2019-00038,2019.1.31,2019.12.11,314,2,폐업,,53.3,100015,서울특별시 중구 충무로5가 90번지 ,"서울특별시 중구 서애로1길 11, 1층 107호 (충무로5가)",4619,타이랜드,"외국음식전문점(인도,태국등)",
3010000,3010000-101-2019-00073,2019.2.28,,43524,1,영업,,150.66,100866,서울특별시 중구 필동1가 21-2번지 가락회관 ,"서울특별시 중구 퇴계로 182, 가락회관 지하1층 (필동1가)",4627,나마스테,"외국음식전문점(인도,태국등)",450957.2639
3010000,3010000-101-2019-00095,2019.3.8,2021.9.3,910,2,폐업,,24.9,100230,서울특별시 중구 수표동 99 시그니쳐타워 ,"서울특별시 중구 청계천로 100, 시그니쳐타워 지하 1층 (수표동)",4542,신룽푸 마라탕,"외국음식전문점(인도,태국등)",451694.8429
3010000,3010000-101-2019-00124,2019.3.25,2020.12.14,630,2,폐업,,18.97,100031,서울특별시 중구 저동1가 48 대신파이낸스센터(Daishin Finance Center) ,"서울특별시 중구 삼일대로 343, 대신파이낸스센터(Daishin Finance Center) 지하1층 (저동1가)",4538,황생가,"외국음식전문점(인도,태국등)",451426.8116
3010000,3010000-101-2019-00130,2019.3.26,2021.5.13,779,2,폐업,,65,100282,서울특별시 중구 인현동2가 192-20 정암프라자 ,"서울특별시 중구 퇴계로41길 39, 정암프라자 지하1층 (인현동2가)",4556,FAKE(페이크),"외국음식전문점(인도,태국등)",451258.8967
3010000,3010000-101-2019-00148,2019.4.12,,43567,1,영업,02  364 1005,109.58,100859,서울특별시 중구 중림동 398-9번지 ,"서울특별시 중구 중림로2길 6, 지상1,지하1층 (중림동)",4503,김민교의 사와디밥,"외국음식전문점(인도,태국등)",450733.4404
3010000,3010000-101-2019-00159,2019.4.22,,43577,1,영업,,34.18,100051,서울특별시 중구 회현동1가 208번지 남산 롯데캐슬 ,"서울특별시 중구 소공로 35, 1층 115호 (회현동1가, 남산 롯데캐슬)",4632,바나나리프,"외국음식전문점(인도,태국등)",450665.0543
3010000,3010000-101-2019-00177,2019.5.2,,43587,1,영업,02  60308977,163.63,100210,서울특별시 중구 수하동 67번지 미래에셋 센터원(Mirae Asset CENTER1) ,"서울특별시 중구 을지로5길 26, 미래에셋 센터원(Mirae Asset CENTER1) 지하2층 (수하동)",4539,아그라 센터원,"외국음식전문점(인도,태국등)",451681.958
3010000,3010000-101-2019-00198,2019.5.23,2019.6.7,15,2,폐업,070 77170333,16.6,100070,서울특별시 중구 소공동 1번지 롯데백화점 본점 ,"서울특별시 중구 남대문로 81, 롯데백화점 본점 지하1층 (소공동)",4533,콩카페 이태원점,베트남식,451392.1982
3010000,3010000-101-2019-00199,2019.5.23,,43608,1,영업,070 47396776,245.64,100768,서울특별시 중구 태평로1가 84번지 파이낸스빌딩 ,"서울특별시 중구 세종대로 136, 파이낸스빌딩(SFC몰) 지하1층 101A호 (태평로1가)",4520,D- LIFESTYLE KITCHEN(디라이프스타일키친),"외국음식전문점(인도,태국등)",451793.817
3010000,3010000-101-2019-00202,2019.5.24,,43609,1,영업,02  69253130,202.04,100070,서울특별시 중구 소공동 1번지 롯데호텔 ,"서울특별시 중구 을지로 30, 롯데호텔 1층 (소공동)",4533,드로잉룸,"외국음식전문점(인도,태국등)",451392.1982
3010000,3010000-101-2019-00216,2019.6.5,,43621,1,영업,02  60308937,204.15,100210,서울특별시 중구 수하동 67번지 미래에셋 센터원(Mirae Asset CENTER1) ,"서울특별시 중구 을지로5길 26, 미래에셋 센터원(Mirae Asset CENTER1) 지하2층 B206-2호 (수하동)",4539,띤띤,베트남식,451681.958
3010000,3010000-101-2019-00248,2019.6.25,,43641,1,영업,,18,100411,서울특별시 중구 광희동1가 169번지 ,"서울특별시 중구 마른내로 161, 1층 (광희동1가)",4561,임페리아,"외국음식전문점(인도,태국등)",451385.2695
3010000,3010000-101-2019-00251,2019.6.26,,43642,1,영업,,56.98,100130,서울특별시 중구 순화동 151번지 순화동더샵 ,"서울특별시 중구 칠패로 27, 순화동더샵 지하1층 B106호 (순화동)",4511,신화 마라탕,"외국음식전문점(인도,태국등)",450878.2118
3010000,3010000-101-2019-00255,2019.6.28,,43644,1,영업,,59.6,100860,서울특별시 중구 충무로2가 12-10 ,"서울특별시 중구 명동8가길 49, 지하1층 (충무로2가)",4537,유에이치 스위트,"외국음식전문점(인도,태국등)",451076.8717
3010000,3010000-101-2019-00261,2019.7.4,,43650,1,영업,02  22670777,95.67,100411,서울특별시 중구 광희동1가 250-1번지 ,"서울특별시 중구 마른내로 154, 1층 (광희동1가)",4560,FORTUNE 파르투내,"외국음식전문점(인도,태국등)",451371.8619
3010000,3010000-101-2019-00298,2019.8.1,,43678,1,영업,,40,100420,서울특별시 중구 무학동 59-2번지 ,"서울특별시 중구 퇴계로74길 25, 1층 (무학동)",4611,마법주방,"외국음식전문점(인도,태국등)",451303.6999
3010000,3010000-101-2019-00301,2019.8.2,2021.11.8,829,2,폐업,,122,100021,서울특별시 중구 명동1가 7-1 ,"서울특별시 중구 명동길 55, 3층 302호 (명동1가)",4538,타이가든 명동성당점,"외국음식전문점(인도,태국등)",451325.2298
3010000,3010000-101-2019-00337,2019.9.16,2022.3.8,904,2,폐업,,50.87,100032,서울특별시 중구 저동2가 7-2 204호,"서울특별시 중구 을지로12길 28, 2층 204호 (저동2가)",4550,Immagino,"외국음식전문점(인도,태국등)",451430.8783
3010000,3010000-101-2019-00371,2019.10.16,,43754,1,영업,,28.7,100859,서울특별시 중구 중림동 332-6번지 1층 ,"서울특별시 중구 만리재로35길 44, 1층 (중림동)",4508,The red house 더레드하우스,"외국음식전문점(인도,태국등)",450542.9856
3010000,3010000-101-2019-00373,2019.10.17,,43755,1,영업,,30.9,100011,서울특별시 중구 충무로1가 52-5번지 신세계백화점 본점 B1 ,"서울특별시 중구 소공로 63, 신세계백화점 본점 B1 (충무로1가)",4530,소이연남 신세계백화점 본점,"외국음식전문점(인도,태국등)",450960.763
3010000,3010000-101-2019-00388,2019.10.31,,43769,1,영업,,56,100846,"서울특별시 중구 을지로3가 323번지 2층 201,202호 ","서울특별시 중구 을지로12길 12, 2층 201,202호 (을지로3가)",4550,을지깐깐,"외국음식전문점(인도,태국등)",451495.4447
3010000,3010000-101-2019-00390,2019.11.4,2019.11.19,15,2,폐업,,10,100747,서울특별시 중구 충무로1가 52-5번지 신세계백화점건물 ,"서울특별시 중구 소공로 63, 신세계백화점건물 지하1층 (충무로1가)",4530,(주)핫스타 신세계본점,"외국음식전문점(인도,태국등)",450960.763
3010000,3010000-101-2019-00409,2019.11.19,,43788,1,영업,02  61121054,259.57,100220,서울특별시 중구 장교동 74번지 롯데시티호텔 명동 2층 ,"서울특별시 중구 삼일대로 362, 롯데시티호텔 명동 2층 (장교동)",4542,SAFFRON RESTAURANT(사프란),"외국음식전문점(인도,태국등)",451628.1532
3010000,3010000-101-2019-00419,2019.11.26,,43795,1,영업,,27.7,100797,서울특별시 중구 장교동 1번지 한화빌딩 28층 ,"서울특별시 중구 청계천로 86, 한화빌딩 28층 (장교동)",4541,퀸즈테이블(chef's kitchen),"외국음식전문점(인도,태국등)",451677.0651
3010000,3010000-101-2019-00428,2019.11.29,2021.7.12,591,2,폐업,,22,100846,서울특별시 중구 을지로3가 321-2 ,"서울특별시 중구 수표로 48-17, 1층 (을지로3가)",4550,코요테살룬,"외국음식전문점(인도,태국등)",451471.2547
3010000,3010000-101-2019-00449,2019.12.12,,43811,1,영업,,99.26,100806,서울특별시 중구 남창동 196번지 ,"서울특별시 중구 퇴계로6가길 12-2, 지하1,지상1층 (남창동)",4635,피그먼트,"외국음식전문점(인도,태국등)",450498.2743
3010000,3010000-101-2019-00465,2019.12.24,,43823,1,영업,070 75438463,39.67,100858,서울특별시 중구 중림동 61-4 1층 ,"서울특별시 중구 청파로 443, 1층 (중림동)",4506,육십삼프로방스 이호점,"외국음식전문점(인도,태국등)",450749.8212
3010000,3010000-101-2020-00005,2020.1.3,,43833,1,영업,,16.5,100824,서울특별시 중구 신당동 292-42번지 ,"서울특별시 중구 다산로34길 5, 1층 (신당동)",4586,아시안 베트남 마트,베트남식,451084.7765
3010000,3010000-101-2020-00157,2020.6.4,,43986,1,영업,,50,100879,서울특별시 중구 흥인동 63 ,"서울특별시 중구 퇴계로 411, 1층 (흥인동)",4570,디핀,"외국음식전문점(인도,태국등)",451517.4737
3010000,3010000-101-2020-00206,2020.7.15,,44027,1,영업,02  21555727,214.12,100768,서울특별시 중구 태평로1가 84 파이낸스빌딩 ,"서울특별시 중구 세종대로 136, 파이낸스빌딩 지하1층 115호 (태평로1가)",4520,(주)보나비 쿠차라 SFC점,"외국음식전문점(인도,태국등)",451793.817
3010000,3010000-101-2020-00220,2020.7.27,2021.4.21,268,2,폐업,,35,100869,서울특별시 중구 황학동 551-2 ,"서울특별시 중구 퇴계로87길 41, 1층 (황학동)",4576,토마토 피자,"외국음식전문점(인도,태국등)",451680.6436
3010000,3010000-101-2020-00307,2020.10.13,2020.11.20,38,2,폐업,,10.5,100851,서울특별시 중구 을지로6가 18-21 ,"서울특별시 중구 장충단로 247, 지하2층 504,505,508,509호 (을지로6가)",4564,케밥 파샤(Kebab Pasha),"외국음식전문점(인도,태국등)",451621.0365
3010000,3010000-101-2020-00319,2020.10.20,2021.5.11,203,2,폐업,,10.5,100851,서울특별시 중구 을지로6가 18-21 ,"서울특별시 중구 장충단로 247, 지하2층 482,483,484호 (을지로6가)",4564,릴리스이나살,"외국음식전문점(인도,태국등)",451621.0365
3010000,3010000-101-2020-00322,2020.10.22,,44126,1,영업,070 43236836,100,100838,서울특별시 중구 신당동 827-1 ,"서울특별시 중구 동호로17나길 5, 1층 (신당동)",4604,피클피클 장충,"외국음식전문점(인도,태국등)",450248.7714
3010000,3010000-101-2020-00326,2020.10.26,,44130,1,영업,,14,100851,서울특별시 중구 을지로6가 18-21 ,"서울특별시 중구 장충단로 247, 지하2층 493,494,510,511호 (을지로6가)",4564,문흐(MOHX),"외국음식전문점(인도,태국등)",451621.0365
3010000,3010000-101-2020-00348,2020.11.9,,44144,1,영업,,10.5,100729,서울특별시 중구 을지로6가 18-21 굿모닝시티쇼핑몰 ,"서울특별시 중구 장충단로 247, 굿모닝시티쇼핑몰 지하2층 471,472,475,476호 (을지로6가)",4564,웍앤롤(WOK&ROLL),"외국음식전문점(인도,태국등)",451621.0365
3010000,3010000-101-2020-00353,2020.11.11,,44146,1,영업,,34.01,100052,서울특별시 중구 회현동2가 87 ,"서울특별시 중구 소공로 46, 1층 118호 (회현동2가, 쌍용남산플래티넘)",4631,모아쏭(moisson),"외국음식전문점(인도,태국등)",450791.9884
3010000,3010000-101-2020-00362,2020.11.17,,44152,1,영업,,20,100819,서울특별시 중구 신당동 152-8 ,"서울특별시 중구 퇴계로90길 26, 1층 2호 (신당동)",4578,도시피자,"외국음식전문점(인도,태국등)",451330.0613
3010000,3010000-101-2020-00369,2020.11.20,,44155,1,영업,,10.5,100729,서울특별시 중구 을지로6가 18-21 굿모닝시티쇼핑몰 ,"서울특별시 중구 장충단로 247, 굿모닝시티쇼핑몰 지하2층 495,500,512,513호 (을지로6가)",4564,크리스탈 타이,"외국음식전문점(인도,태국등)",451621.0365
3010000,3010000-101-2020-00373,2020.11.24,,44159,1,영업,02  62071988,10,100011,서울특별시 중구 충무로1가 52-5 ,"서울특별시 중구 소공로 63, 지하1층 (충무로1가)",4530,벨로타벨로타,"외국음식전문점(인도,태국등)",450960.763
3010000,3010000-101-2020-00378,2020.11.27,,44162,1,영업,,10.5,100729,서울특별시 중구 을지로6가 18-21 굿모닝시티쇼핑몰 ,"서울특별시 중구 장충단로 247, 굿모닝시티쇼핑몰 지하2층 336,337,343,344호 (을지로6가)",4564,미미노,"외국음식전문점(인도,태국등)",451621.0365
3010000,3010000-101-2020-00386,2020.12.2,,44167,1,영업,,186.81,100807,서울특별시 중구 만리동1가 36-2 ,"서울특별시 중구 만리재로37길 8, 1층 (만리동1가)",4508,빈공간,"외국음식전문점(인도,태국등)",450486.1426
3010000,3010000-101-2020-00393,2020.12.9,,44174,1,영업,,10.5,100729,서울특별시 중구 을지로6가 18-21 굿모닝시티쇼핑몰 ,"서울특별시 중구 장충단로 247, 굿모닝시티쇼핑몰 지하2층 470,471,474,475호 (을지로6가)",4564,에티오피아레스토랑,"외국음식전문점(인도,태국등)",451621.0365
3010000,3010000-101-2020-00399,2020.12.14,,44179,1,영업,,10.5,100851,서울특별시 중구 을지로6가 18-21 ,"서울특별시 중구 장충단로 247, 지하2층 337,338,344,345호 (을지로6가)",4564,나시고랭라리스,"외국음식전문점(인도,태국등)",451621.0365
3010000,3010000-101-2021-00016,2021.1.12,,44208,1,영업,,96,100863,서울특별시 중구 충무로4가 32-16 ,"서울특별시 중구 창경궁로1길 38, 4층 (충무로4가)",4558,원형들,"외국음식전문점(인도,태국등)",451137.8958
3010000,3010000-101-2021-00054,2021.2.26,,44253,1,영업,,11.27,100835,서울특별시 중구 신당동 432-716 ,"서울특별시 중구 다산로 61-1, 1층 (신당동)",4600,하노이별 약수점,베트남식,449765.2056
3010000,3010000-101-2021-00133,2021.4.27,,44313,1,영업,,46.02,100220,서울특별시 중구 장교동 1 ,"서울특별시 중구 삼일대로 363, 2동 7층 7호 (장교동)",4541,카오짜이,"외국음식전문점(인도,태국등)",451677.0651
3010000,3010000-101-2021-00169,2021.5.26,,44342,1,영업,,82.5,100865,서울특별시 중구 태평로2가 340-6 ,"서울특별시 중구 서소문로 138, 1층 (태평로2가)",4514,바리 시청점,"외국음식전문점(인도,태국등)",451263.7162
3010000,3010000-101-2021-00176,2021.5.31,,44347,1,영업,070 88110080,133.26,100272,서울특별시 중구 필동2가 104-6 ,"서울특별시 중구 퇴계로36가길 46, 1층 (필동2가)",4626,어스돔,"외국음식전문점(인도,태국등)",450667.4194
3010000,3010000-101-2021-00184,2021.6.3,,44350,1,영업,,214.42,100110,서울특별시 중구 서소문동 135 ,"서울특별시 중구 세종대로9길 41, 1층 (서소문동)",4513,콜렉티보 퍼시픽타워점,"외국음식전문점(인도,태국등)",451007.2804
3010000,3010000-101-2021-00189,2021.6.7,,44354,1,영업,,97.49,100411,서울특별시 중구 광희동1가 103-1 ,"서울특별시 중구 마른내로 159, 2층 (광희동1가)",4561,우거데이항(UGEDEIKHAAN),"외국음식전문점(인도,태국등)",451395.6485
3010000,3010000-101-2021-00211,2021.6.18,,44365,1,영업,,31.49,100890,서울특별시 중구 신당동 304-384 ,"서울특별시 중구 청구로14길 18, 1층 (신당동)",4610,베르도네(Verdone) 신당,"외국음식전문점(인도,태국등)",451034.1974
